200;2025-10-29 15:17:58.782;2025-11-06 16:20:34.931;PRESENTE;;;13.6896206,-89.13204;Presencial;2025-10-29 15:17:58.783;2025-11-06 16:20:34.932;200;200;2426;Duplicate: personRoleId=200, eventInstanceId=2426
173;2025-10-30 17:03:57.435;2025-10-30 17:52:17.542;PRESENTE;;;13.7288929,-89.1689774;Presencial;2025-10-30 17:03:57.435;2025-10-30 17:52:17.543;173;173;3631;Duplicate: personRoleId=173, eventInstanceId=3631
3846;2025-10-30 17:03:57.441;2025-10-30 17:52:17.542;PRESENTE;;;13.7288929,-89.1689774;Presencial;2025-10-30 17:03:57.441;2025-10-30 17:52:17.543;173;173;3631;Duplicate: personRoleId=3846, eventInstanceId=3631
189;2025-10-28 16:31:18.624;2025-11-06 22:09:19.534;PRESENTE;;;13.7948675,-89.1873835;Presencial;2025-10-28 16:31:18.624;2025-11-06 22:09:19.535;189;189;2361;Duplicate: personRoleId=189, eventInstanceId=2361
318;2025-10-29 14:50:29.359;2025-11-06 20:11:02.884;PRESENTE;;;13.9857,-89.6791817;Presencial;2025-10-29 14:50:29.36;2025-11-06 20:11:02.885;318;318;2366;Duplicate: personRoleId=318, eventInstanceId=2366
518;2025-11-04 15:57:10.494;2025-11-07 17:03:10.911;PRESENTE;;;13.9640742,-88.511049;Presencial;2025-11-04 15:57:10.495;2025-11-07 17:03:10.912;246;246;1136;Duplicate: personRoleId=518, eventInstanceId=1136
160;2025-11-04 18:09:34.814;2025-11-05 17:21:14.611;PRESENTE;;;13.444302,-88.750452;Presencial;2025-11-04 18:09:34.815;2025-11-05 17:21:14.612;160;160;2436;Duplicate: personRoleId=160, eventInstanceId=2436
105;2025-10-28 15:25:29.238;2025-11-05 16:51:24.595;PRESENTE;;;13.8570041,-89.8039057;Presencial;2025-10-28 15:25:29.239;2025-11-05 16:51:24.596;105;105;1811;Duplicate: personRoleId=105, eventInstanceId=1811
244;2025-11-04 16:38:35.828;2025-11-10 19:09:16.202;PRESENTE;;;13.2754843,-88.546515;Presencial;2025-11-04 16:38:35.829;2025-11-10 19:09:16.203;244;244;2661;Duplicate: personRoleId=244, eventInstanceId=2661
66;2025-10-27 22:20:58.684;2025-10-28 18:26:20.488;PRESENTE;;;13.385685,-88.6680533;Presencial;2025-10-27 22:20:58.685;2025-10-28 18:26:20.488;66;66;2021;Duplicate: personRoleId=66, eventInstanceId=2021
