id;eventId;trainingModuleId;responsibleId
775;2;5;224
776;2;1;203
777;2;2;203
778;2;3;203
779;2;4;203
780;2;5;203
781;2;1;33
782;2;2;33
783;2;3;33
784;2;4;33
785;2;5;33
786;2;1;131
787;2;2;131
788;2;3;131
789;2;4;131
790;2;5;131
791;2;1;293
792;2;2;293
793;2;3;293
794;2;4;293
795;2;5;293
796;2;1;34
797;2;2;34
798;2;3;34
799;2;4;34
800;2;5;34
801;2;1;35
802;2;2;35
803;2;3;35
804;2;4;35
805;2;5;35
806;2;1;225
807;2;2;225
808;2;3;225
809;2;4;225
810;2;5;225
811;2;1;202
812;2;2;202
813;2;3;202
814;2;4;202
815;2;5;202
816;2;1;37
817;2;2;37
818;2;3;37
819;2;4;37
820;2;5;37
821;2;1;226
822;2;2;226
823;2;3;226
824;2;4;226
825;2;5;226
826;2;1;39
827;2;2;39
828;2;3;39
829;2;4;39
830;2;5;39
831;2;1;201
832;2;2;201
833;2;3;201
834;2;4;201
835;2;5;201
836;2;1;227
837;2;2;227
838;2;3;227
839;2;4;227
840;2;5;227
841;2;1;41
842;2;2;41
843;2;3;41
844;2;4;41
845;2;5;41
846;2;1;132
847;2;2;132
848;2;3;132
849;2;4;132
850;2;5;132
851;2;1;42
852;2;2;42
853;2;3;42
854;2;4;42
855;2;5;42
856;2;1;44
857;2;2;44
858;2;3;44
859;2;4;44
860;2;5;44
861;2;1;200
862;2;2;200
863;2;3;200
864;2;4;200
865;2;5;200
866;2;1;229
867;2;2;229
868;2;3;229
869;2;4;229
870;2;5;229
871;2;1;46
872;2;2;46
873;2;3;46
874;2;4;46
875;2;5;46
876;2;1;231
877;2;2;231
878;2;3;231
879;2;4;231
880;2;5;231
881;2;1;47
882;2;2;47
883;2;3;47
884;2;4;47
885;2;5;47
886;2;1;198
887;2;2;198
888;2;3;198
889;2;4;198
890;2;5;198
891;2;1;232
892;2;2;232
893;2;3;232
894;2;4;232
895;2;5;232
896;2;1;48
897;2;2;48
898;2;3;48
899;2;4;48
900;2;5;48
901;2;1;291
902;2;2;291
903;2;3;291
904;2;4;291
905;2;5;291
906;2;1;49
907;2;2;49
908;2;3;49
909;2;4;49
910;2;5;49
911;2;1;51
912;2;2;51
913;2;3;51
914;2;4;51
915;2;5;51
916;2;1;197
917;2;2;197
918;2;3;197
919;2;4;197
920;2;5;197
921;2;1;52
922;2;2;52
923;2;3;52
924;2;4;52
925;2;5;52
926;2;1;234
927;2;2;234
928;2;3;234
929;2;4;234
930;2;5;234
931;2;1;196
932;2;2;196
933;2;3;196
934;2;4;196
935;2;5;196
936;2;1;53
937;2;2;53
938;2;3;53
939;2;4;53
940;2;5;53
941;2;1;235
942;2;2;235
943;2;3;235
944;2;4;235
945;2;5;235
946;2;1;195
947;2;2;195
948;2;3;195
949;2;4;195
950;2;5;195
951;2;1;54
952;2;2;54
953;2;3;54
954;2;4;54
955;2;5;54
956;2;1;283
957;2;2;283
958;2;3;283
959;2;4;283
960;2;5;283
961;2;1;134
962;2;2;134
963;2;3;134
964;2;4;134
965;2;5;134
966;2;1;58
967;2;2;58
968;2;3;58
969;2;4;58
970;2;5;58
971;2;1;236
972;2;2;236
973;2;3;236
974;2;4;236
975;2;5;236
976;2;1;194
977;2;2;194
978;2;3;194
979;2;4;194
980;2;5;194
981;2;1;59
982;2;2;59
983;2;3;59
984;2;4;59
985;2;5;59
986;2;1;237
987;2;2;237
988;2;3;237
989;2;4;237
990;2;5;237
991;2;1;193
992;2;2;193
993;2;3;193
994;2;4;193
995;2;5;193
996;2;1;62
997;2;2;62
998;2;3;62
999;2;4;62
1000;2;5;62
1001;2;1;239
1002;2;2;239
1003;2;3;239
1004;2;4;239
1005;2;5;239
1006;2;1;192
1007;2;2;192
1008;2;3;192
1009;2;4;192
1010;2;5;192
1011;2;1;64
1012;2;2;64
1013;2;3;64
1014;2;4;64
1015;2;5;64
1016;2;1;290
1017;2;2;290
1018;2;3;290
1019;2;4;290
1020;2;5;290
1021;2;1;142
1022;2;2;142
1023;2;3;142
1024;2;4;142
1025;2;5;142
1026;2;1;65
1027;2;2;65
1028;2;3;65
1029;2;4;65
1030;2;5;65
1031;2;1;66
1032;2;2;66
1033;2;3;66
1034;2;4;66
1035;2;5;66
1036;2;1;240
1037;2;2;240
1038;2;3;240
1039;2;4;240
1040;2;5;240
1041;2;1;67
1042;2;2;67
1043;2;3;67
1044;2;4;67
1045;2;5;67
1046;2;1;191
1047;2;2;191
1048;2;3;191
1049;2;4;191
1050;2;5;191
1051;2;1;241
1052;2;2;241
1053;2;3;241
1054;2;4;241
1055;2;5;241
1056;2;1;68
1057;2;2;68
1058;2;3;68
1059;2;4;68
1060;2;5;68
1061;2;1;190
1062;2;2;190
1063;2;3;190
1064;2;4;190
1065;2;5;190
1066;2;1;69
1067;2;2;69
1068;2;3;69
1069;2;4;69
1070;2;5;69
1071;2;1;189
1072;2;2;189
1073;2;3;189
1074;2;4;189
1075;2;5;189
1076;2;1;135
1077;2;2;135
1078;2;3;135
1079;2;4;135
1080;2;5;135
1081;2;1;70
1082;2;2;70
1083;2;3;70
1084;2;4;70
1085;2;5;70
1086;2;1;243
1087;2;2;243
1088;2;3;243
1089;2;4;243
1090;2;5;243
1091;2;1;71
1092;2;2;71
1093;2;3;71
1094;2;4;71
1095;2;5;71
1096;2;1;188
1097;2;2;188
1098;2;3;188
