eventId;personRoleId;checkIn;checkOut;status;comment;justificationUrl;coordenates;modality;createdAt;updatedAt;createdBy;updatedBy
326;144;2025-11-04 20:14:37.872;2025-11-06 14:43:15.965;PRESENTE;"";"";13.4773381,-88.1921843;Presencial;2025-11-04 20:14:37.873;2025-11-06 14:43:15.966;144;144
326;2792;2025-11-04 20:14:37.879;2025-11-06 14:43:15.965;PRESENTE;"";"";13.4773381,-88.1921843;Presencial;2025-11-04 20:14:37.88;2025-11-06 14:43:15.966;144;144
316;132;2025-10-28 20:37:06.393;2025-10-30 22:37:13.843;PRESENTE;"";"";13.7299614,-88.8821012;Presencial;2025-10-28 20:37:06.394;2025-10-30 22:37:13.844;132;132
316;3529;2025-10-28 20:37:06.398;2025-10-30 22:37:13.843;PRESENTE;"";"";13.7299614,-88.8821012;Presencial;2025-10-28 20:37:06.399;2025-10-30 22:37:13.844;132;132
779;192;2025-10-28 15:27:50.462;2025-10-31 21:49:18.322;PRESENTE;"";"";13.6686323,-88.7769345;Presencial;2025-10-28 15:27:50.463;2025-10-31 21:49:18.322;192;192
779;3633;2025-10-28 15:27:50.466;2025-10-31 21:49:18.322;PRESENTE;"";"";13.6686323,-88.7769345;Presencial;2025-10-28 15:27:50.466;2025-10-31 21:49:18.322;192;192
716;4706;2025-11-05 16:22:54.789;2025-11-07 15:00:16.652;PRESENTE;"";"";13.4832344,-88.4658897;Presencial;2025-11-05 16:22:54.789;2025-11-07 15:00:16.653;76;76
322;2176;2025-10-28 15:27:34.414;2025-11-05 16:14:15.033;PRESENTE;"";"";13.8674239,-89.8489709;Presencial;2025-10-28 15:27:34.415;2025-11-05 16:14:15.033;140;140
414;52;2025-10-28 14:20:55.574;2025-11-04 17:49:02.908;PRESENTE;"";"";14.2180656,-89.1198209;Presencial;2025-10-28 14:20:55.575;2025-11-04 17:49:02.909;52;52
363;105;2025-10-28 16:28:26.992;2025-11-05 16:51:24.595;PRESENTE;"";"";13.8570052,-89.8039036;Presencial;2025-10-28 16:28:26.993;2025-11-05 16:51:24.596;105;105
239;178;2025-11-06 16:05:09.775;2025-11-07 13:45:33.297;PRESENTE;"";"";13.7081853,-89.2216867;Presencial;2025-11-06 16:05:09.776;2025-11-07 13:45:33.298;178;178
414;1465;2025-10-28 14:20:55.58;2025-11-04 17:49:02.908;PRESENTE;"";"";14.2180656,-89.1198209;Presencial;2025-10-28 14:20:55.581;2025-11-04 17:49:02.909;52;52
591;4303;2025-10-31 16:09:12.671;2025-11-07 18:17:19.742;PRESENTE;"";"";13.6980638,-89.1915341;Presencial;2025-10-31 16:09:12.671;2025-11-07 18:17:19.743;303;303
475;189;2025-10-29 18:25:00.764;2025-11-06 22:09:19.534;PRESENTE;"";"";13.7952167,-89.1873056;Presencial;2025-10-29 18:25:00.765;2025-11-06 22:09:19.535;189;189
394;76;2025-10-28 17:02:01.178;2025-10-28 20:55:58.232;PRESENTE;"";"";13.4953739,-88.4625935;Presencial;2025-10-28 17:02:01.179;2025-10-28 20:55:58.233;76;76
394;2561;2025-10-28 17:02:01.182;2025-10-28 20:55:58.232;PRESENTE;"";"";13.4953739,-88.4625935;Presencial;2025-10-28 17:02:01.182;2025-10-28 20:55:58.233;76;76
475;738;2025-10-29 18:25:00.77;2025-11-06 22:09:19.534;PRESENTE;"";"";13.7952167,-89.1873056;Presencial;2025-10-29 18:25:00.77;2025-11-06 22:09:19.535;189;189
476;1181;2025-10-31 15:23:46.882;2025-11-06 20:11:02.884;PRESENTE;"";"";13.9666694,-89.6610517;Presencial;2025-10-31 15:23:46.882;2025-11-06 20:11:02.885;318;318
331;3838;2025-10-28 14:58:57.708;2025-11-05 18:31:31.387;PRESENTE;"";"";13.7380617,-88.2856367;Presencial;2025-10-28 14:58:57.708;2025-11-05 18:31:31.388;153;153
523;231;2025-11-03 16:07:39.194;2025-11-07 17:26:31.115;PRESENTE;"";"";13.239381,-87.861633;Presencial;2025-11-03 16:07:39.195;2025-11-07 17:26:31.116;231;231
523;3354;2025-11-03 16:07:39.198;2025-11-07 17:26:31.115;PRESENTE;"";"";13.239381,-87.861633;Presencial;2025-11-03 16:07:39.199;2025-11-07 17:26:31.116;231;231
491;4544;2025-11-04 18:09:34.793;2025-11-05 17:21:14.611;PRESENTE;"";"";13.444302,-88.750452;Presencial;2025-11-04 18:09:34.793;2025-11-05 17:21:14.612;160;160
338;1854;2025-10-29 01:46:55.235;2025-11-07 17:18:15.187;PRESENTE;"";"";13.7044833,-89.1354617;Presencial;2025-10-29 01:46:55.236;2025-11-07 17:18:15.189;257;257
498;207;2025-10-28 16:04:17.63;2025-11-03 19:48:19.846;PRESENTE;"";"";14.0528278,-89.6250167;Presencial;2025-10-28 16:04:17.631;2025-11-03 19:48:19.847;207;207
498;1124;2025-10-28 16:04:17.635;2025-11-03 19:48:19.846;PRESENTE;"";"";14.0528278,-89.6250167;Presencial;2025-10-28 16:04:17.636;2025-11-03 19:48:19.847;207;207
430;30;2025-11-04 15:55:15.659;2025-11-04 17:29:48.356;PRESENTE;"";"";13.7747909,-89.7605025;Presencial;2025-11-04 15:55:15.66;2025-11-04 17:29:48.357;30;30
430;3382;2025-11-04 15:55:15.663;2025-11-04 17:29:48.356;PRESENTE;"";"";13.7747909,-89.7605025;Presencial;2025-11-04 15:55:15.664;2025-11-04 17:29:48.357;30;30
390;79;2025-10-28 15:30:03.116;2025-10-31 21:14:05.839;PRESENTE;"";"";13.7167846,-89.1904747;Presencial;2025-10-28 15:30:03.116;2025-10-31 21:14:05.84;79;79
390;857;2025-10-28 15:30:03.12;2025-10-31 21:14:05.839;PRESENTE;"";"";13.7167846,-89.1904747;Presencial;2025-10-28 15:30:03.121;2025-10-31 21:14:05.84;79;79
302;115;2025-10-28 16:05:49.873;2025-11-07 15:35:18.13;PRESENTE;"";"";13.713408,-89.21088;Presencial;2025-10-28 16:05:49.874;2025-11-07 15:35:18.131;115;115
778;278;2025-10-31 14:18:56.29;2025-11-04 16:31:22.674;PRESENTE;"";"";13.731695,-88.80067;Presencial;2025-10-31 14:18:56.29;2025-11-04 16:31:22.676;278;278
501;164;2025-11-04 20:14:45.407;2025-11-04 21:42:34.097;PRESENTE;"";"";13.9214197,-89.8487131;Presencial;2025-11-04 20:14:45.407;2025-11-04 21:42:34.098;164;164
353;295;2025-10-31 13:38:38.245;2025-11-05 19:38:01.102;PRESENTE;"";"";13.695929,-88.821569;Presencial;2025-10-31 13:38:38.245;2025-11-05 19:38:01.102;295;295
239;806;2025-11-06 16:05:09.782;2025-11-07 13:45:33.297;PRESENTE;"";"";13.7081853,-89.2216867;Presencial;2025-11-06 16:05:09.782;2025-11-07 13:45:33.298;178;178
154;1264;2025-11-05 15:09:45.866;2025-11-07 16:50:46.837;PRESENTE;"";"";14.331331756463454,-89.1767322521545;Presencial;2025-11-05 15:09:45.867;2025-11-07 16:50:46.837;32;32
489;200;2025-10-28 15:21:45.299;2025-11-06 16:20:34.931;PRESENTE;"";"";13.7049019,-89.1455958;Presencial;2025-10-28 15:21:45.299;2025-11-06 16:20:34.932;200;200
397;73;2025-10-31 13:58:14.542;2025-11-07 18:00:15.2;PRESENTE;"";"";13.5948614,-87.9431957;Presencial;2025-10-31 13:58:14.542;2025-11-07 18:00:15.201;73;73
428;32;2025-10-31 14:16:47.452;2025-11-06 15:35:25.555;PRESENTE;"";"";14.35057580075737,-89.19701870058063;Presencial;2025-10-31 14:16:47.453;2025-11-06 15:35:25.555;32;32
501;1212;2025-11-04 20:14:45.411;2025-11-04 21:42:34.097;PRESENTE;"";"";13.9214197,-89.8487131;Presencial;2025-11-04 20:14:45.412;2025-11-04 21:42:34.098;164;164
779;192;2025-10-28 15:27:50.463;2025-10-31 21:49:18.322;PRESENTE;"";"";13.6686323,-88.7769345;Presencial;2025-10-28 15:27:50.464;2025-10-31 21:49:18.322;192;192
779;3633;2025-10-28 15:27:50.468;2025-10-31 21:49:18.322;PRESENTE;"";"";13.6686323,-88.7769345;Presencial;2025-10-28 15:27:50.469;2025-10-31 21:49:18.322;192;192
